restaurante;product_name;preco;categoria
Detroit;Ancho Motown ao Chimichurri;89,95;Outros
Detroit;Fraldinha Macombi Smoked;89,95;Outros
Detroit;Frango Wayne ao Limão e Ervas;59,95;Outros
Detroit;Salmão Greater Novi com crosta de gergelim;99,95;Outros
Detroit;American Barbecue – New Formula;119,95;Outros
Detroit;Brazilian Picanha;189,95;Steak
Detroit;Detroit Parmegiana – New Formula;119,95;Outros
Detroit;Filé Hamtramck com molho Gorgonzola;189,95;Outros
Detroit;The Dearborn Mega t-bone;189,95;Outros
Detroit;The Motorcity Baby Back Ribs;139,95;Outros
Detroit;Chevrolet Burger;45,95;Burger
Detroit;Ford T Burger;39,95;Burger
Detroit;GMC Duplo Burger;69,95;Burger
Detroit;Jeep Veggie Burger;55,95;Burger
Detroit;Mustang Cheddar Burger;55,95;Burger
Detroit;Ram Bacon Burger;55,95;Burger
Detroit;Milk shake;29,95;Bebida
Detroit;Chicken Cuts;39,95;Outros
Detroit;Mini Burger com Fritas;39,95;Burger
Detroit;Pasta Kids;35,95;Outros
Detroit;Steak Cuts;49,95;Outros
Detroit;Camarão e Fish & Chips;79,95;Outros
Detroit;Chicken Wings & Onion;69,95;Outros
Detroit;Lions Fries;69,95;Entrada
Detroit;Mini Burger Aperitivo;89,95;Burger
Detroit;PASTEL BABY BACK RIBS E/OU QUEIJO;69,95;Outros
Detroit;Steak & Fries – New Formula;89,95;Entrada
Detroit;Titans Quesadilla;79,95;Outros
Detroit;Larry Page Caesar Salad;39,95;Outros
Detroit;Magic Johnson Tex Mex Salad;39,95;Outros
